,Name,Adress,Phone
0,Nonnaz Pizzeria & Restaurant,"49-14 30th Ave, Queens, NY 11377",(718) 806-1165
1,Public Display of Affection,"669 Union St, Brooklyn, NY 11215",(718) 635-1678
2,Margari Pizza,"1072 2nd Ave, New York, NY 10022",(212) 906-1929
3,Pane Pasta,"58 West 8th St, New York, NY 10011",(646) 891-0006
4,Japan Pizza Den Den Gyoza,"43-48 42nd St, Sunnyside, NY 11104",
5,Tramonti Fifth Ave,"2 W 28th St, New York, NY 10001",(212) 464-7082
6,Hangry,"725 Hillside Ave, New Hyde Park, NY 11040",(516) 629-7102
7,"Rome to Brooklyn, pizza & panzerotti","755 grand st, New York, NY 11211",
8,Ita Italian Kitchen,"686 Bergen Ave, Jersey City, NJ 07304",(201) 435-8380
9,IL Bel Paese,"305 Knickerbocker Ave, Brooklyn, NY 11237",(718) 628-0077
10,Taco Bell,"9506 63rd Drive, Rego Park, NY 11374",
11,PIE OH MY,"Woodland Park, NJ 07424",(718) 644-9490
12,Mani In Pasta,"231 W 39th St, The Deco, New York, NY 10018",(646) 993-1650
13,Bravo Pizza,"413  New Dorp Ln, Staten Island, NY 10306",(718) 317-1010
14,Hong Chun Cheon Cheese Dak galbi,"156-16 Northern Blvd, Flushing, NY 11354",(718) 888-1844
15,Uncle Louie's Pizza,"15 W Grand Ave, Montvale, NJ 07645",(201) 746-9777
16,Papi',"19 Bank St, White Plains, NY 10606",(914) 328-6535
17,Pulia Ristorante,"548 4th Ave, Brooklyn, NY 11215",(718) 788-1140
18,American Brass,"49th Ave, Long Island City, NY 11109",(718) 806-1106
19,I Love Panzerotti-- East Village,"130 St Marks Pl, New York, NY 10009",(646) 596-7113
20,Saige Cafe At Le Havre,"168-68 9th Ave, Whitestone, NY 11357",(917) 994-1978
21,Public Pizza Italian Kitchen,"193 Market St, Yonkers, NY 10710",(914) 652-7611
22,Zanmi,"1206 Nostrand Ave, Brooklyn, NY 11225",(718) 676-1047
23,The Marilyn,"19 W 31st St, New York, NY 10001",(212) 615-9900
24,Six Corners Marketplace,"2755 Broadway, New York, NY 10025",
25,Tavola Della Nonna,"208 W 70th St, New York, NY 10023",(212) 875-8600
26,Taco Bell Cantina,"976 6th Ave, New York, NY 10018",
27,Raku it's Japanese,"212 East 52nd St, New York, NY 10022",(212) 355-3272
28,Exotic Empanadas,"635 2nd Ave, New York, NY 10016",(646) 707-0488
29,Dragon Sushi,"1264 Amsterdam Ave, New York, NY 10027",(646) 490-5254
30,Amira’s Steak & Chops,"412 S Broadway, Hicksville, NY 11801",
31,Anna Maria's Wine Bar,"53 Purchase St, Rye, NY 10580",(914) 305-6780
32,Curry Up Now,"91 Washington St, Hoboken, NJ 07030",(201) 659-2879
33,Something Sweet,"1976 86th St, Brooklyn, NY 11214",(718) 517-7337
34,Sakana Sushi & Hibachi Steakhouse,"1657 Richmond Rd, Staten Island, NY 10304",(718) 987-7999
