,ID,Name,Reviews,Rating,Price
0,M2denMcXzZPJm9RkYhStkQ,Regal UA Sheepshead Bay IMAX & RPX,335,2.5,
1,c1onPljpeivCbdgYisVWNw,Nitehawk Cinema,693,4.5,
2,-m6RCdKiS5fC0wkZJHe2xg,Alpine Theatre,282,2.5,
3,H38pIONXN5yM4FMNtCMZqw,Nitehawk Cinema - Prospect Park,167,3.5,$$
4,_GH68RRjkwNbwT6LWIgm9Q,Williamsburg Cinemas,334,3.0,
5,-KrKo3-o8wAN5OQn1z_Tow,Cobble Hill Cinemas,318,3.5,
6,0AKsd2lA76JIvSc-1rns1g,Regal UA Court Street & RPX,433,2.0,
7,jCsNg4IjZz7AOFBkNR-jxw,Syndicated Bar Theater Kitchen,207,4.0,$$
8,hKP_L68yaJw6UOMMpIegDw,Cinemart Cinemas,201,4.0,
9,8hCw819wU7LkMG-tJHcpZA,AMC Fresh Meadows 7,612,4.0,
10,9bm1OLJZ_xkGUrOVQzNEig,BAM Rose Cinemas,260,4.0,$$
11,cDGEgWAA2RRm1H_27e4-dg,Kerasotes ShowPlace 14,325,4.5,
12,LKiCVg9QCXWJwZa1_Q63dw,Regal Battery Park,512,4.0,
13,w0dHYiT8t8vjulgEWgbAOw,Kent Theatre,85,2.5,
14,vieBJCxpsKQauyTdkYQm5A,Regal UA Midway,218,3.0,
15,XjnUeIR7cD0RdB3BKEgH_g,Regal Atlas Park,181,3.0,
16,Zy35lp_Sz8htqgPAFftlqw,Regal UA Kaufman Astoria & RPX,379,3.5,
17,97ss3gK06QWQWBAy2bcjwg,Kew Gardens Cinema,226,4.0,
18,Ndem0ydCV03xpoMduv8tkQ,IPIC New York City,605,3.5,
19,cASJUJfNKam_PGM0ZJ0S9Q,AMC Ridgefield Park 12,307,3.5,
20,n_u1i-Y4gjqJYIDlhdAyrA,AMC Village 7,131,4.0,
21,7WcAE3pwnB9XOVKlG2CGRw,Regal Westbury IMAX & RPX,166,4.0,
