,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,G,PG,PG-13,R,gross
3879,256.0,111.0,456.0,394.0,20000.0,21404,4.0,186.0,150000000.0,2015.0,559.0,5.8,0,1,0,0,34964818.0
1383,72.0,93.0,84.0,263.0,551.0,1874,0.0,218.0,36000000.0,1997.0,284.0,6.9,0,0,0,1,50129186.0
364,517.0,158.0,21000.0,585.0,18000.0,20388,1.0,632.0,90000000.0,2011.0,1000.0,7.8,0,0,0,1,102515793.0
1252,101.0,103.0,643.0,586.0,24000.0,26938,2.0,180.0,40000000.0,2000.0,1000.0,5.5,0,0,1,0,37752931.0
4360,85.0,118.0,12.0,67.0,201.0,546,0.0,110.0,1800000.0,2002.0,163.0,6.8,0,0,0,1,5709616.0
1303,104.0,101.0,37.0,595.0,2000.0,4262,1.0,388.0,42000000.0,2002.0,886.0,3.3,0,0,0,1,13208023.0
57,322.0,122.0,681.0,105.0,998.0,1327,4.0,432.0,185000000.0,2016.0,119.0,7.5,0,0,1,0,130468626.0
4778,525.0,130.0,0.0,11000.0,44000.0,73441,4.0,511.0,215000000.0,2013.0,15000.0,6.4,0,1,0,0,234903076.0
380,196.0,129.0,209.0,886.0,11000.0,23031,6.0,139.0,90000000.0,2016.0,11000.0,6.9,0,0,1,0,64685359.0
1757,210.0,120.0,0.0,210.0,579.0,1500,12.0,71.0,30000000.0,2009.0,489.0,6.7,0,0,0,1,7443007.0
2452,209.0,114.0,0.0,1000.0,27000.0,46944,4.0,192.0,18000000.0,2008.0,18000.0,7.3,0,0,0,1,5694401.0
3192,111.0,89.0,0.0,132.0,402.0,1335,0.0,240.0,9000000.0,1999.0,296.0,7.1,0,0,0,1,3193102.0
413,459.0,139.0,168.0,1000.0,14000.0,22226,2.0,713.0,85000000.0,2014.0,5000.0,6.7,0,0,1,0,150832203.0
3162,77.0,97.0,31.0,551.0,4000.0,6388,0.0,321.0,10000000.0,1999.0,980.0,6.5,0,0,1,0,10561238.0
663,322.0,137.0,11000.0,465.0,769.0,2938,0.0,351.0,65000000.0,2014.0,698.0,7.2,0,0,1,0,115603980.0
4931,232.0,85.0,109.0,18.0,200.0,332,0.0,329.0,180000.0,2007.0,96.0,7.9,0,0,0,1,9437933.0
45,424.0,140.0,0.0,14000.0,26000.0,79150,0.0,657.0,190000000.0,2015.0,23000.0,7.2,0,0,1,0,350034110.0
1809,98.0,118.0,650.0,715.0,1000.0,3389,4.0,71.0,25000000.0,2012.0,773.0,5.7,0,0,1,0,30920167.0
4024,169.0,80.0,10.0,34.0,11000.0,11218,0.0,331.0,8000000.0,2005.0,108.0,7.6,1,0,0,0,77413017.0
1902,181.0,98.0,285.0,7000.0,640000.0,656730,5.0,577.0,26000000.0,2004.0,8000.0,7.2,0,0,1,0,84136909.0
4054,215.0,120.0,909.0,184.0,909.0,1779,2.0,888.0,4000000.0,2002.0,504.0,8.0,0,0,0,1,21244913.0
595,284.0,110.0,0.0,559.0,3000.0,5609,1.0,1040.0,70000000.0,2006.0,579.0,5.6,0,0,1,0,42272747.0
2127,299.0,119.0,209.0,521.0,1000.0,3284,0.0,363.0,25000000.0,2007.0,896.0,7.3,0,0,0,1,49024969.0
784,198.0,101.0,50.0,1000.0,22000.0,38809,2.0,248.0,60000000.0,2008.0,14000.0,6.0,0,0,0,1,40076438.0
2973,274.0,123.0,628.0,171.0,565.0,1595,1.0,391.0,12000000.0,2013.0,555.0,7.8,0,0,0,1,15294553.0
4383,77.0,98.0,3.0,327.0,349.0,2095,3.0,122.0,1700000.0,1999.0,347.0,6.3,0,0,1,0,1943649.0
105,231.0,98.0,249.0,702.0,87000.0,92456,0.0,629.0,160000000.0,2006.0,2000.0,5.6,0,0,1,0,60655503.0
997,315.0,129.0,16000.0,447.0,13000.0,14344,0.0,323.0,50000000.0,2010.0,563.0,6.5,0,0,1,0,32741596.0
61,240.0,96.0,0.0,10000.0,18000.0,48878,0.0,249.0,200000000.0,2009.0,14000.0,6.8,0,1,0,0,137850096.0
3203,157.0,98.0,0.0,258.0,530.0,1381,0.0,213.0,8000000.0,2002.0,387.0,6.8,0,0,0,1,1641788.0
62,384.0,127.0,0.0,13000.0,17000.0,47334,1.0,720.0,176000000.0,2015.0,15000.0,5.4,0,0,1,0,47375327.0
38,525.0,130.0,0.0,11000.0,44000.0,73441,4.0,511.0,215000000.0,2013.0,15000.0,6.4,0,1,0,0,234903076.0
4794,86.0,91.0,147.0,5.0,22.0,54,0.0,88.0,55784951.6,2001.0,20.0,7.7,0,0,1,0,1293295.0
1835,134.0,123.0,108.0,239.0,1000.0,1690,0.0,752.0,25000000.0,1998.0,264.0,7.2,0,0,0,1,100241322.0
2558,285.0,121.0,1000.0,108.0,175.0,485,1.0,687.0,8000000.0,2007.0,115.0,7.9,0,0,0,1,23618786.0
3777,155.0,97.0,7.0,939.0,8000.0,10517,1.0,86.0,5000000.0,2010.0,981.0,6.4,0,0,0,1,2711210.0
22,343.0,156.0,0.0,738.0,891.0,3244,0.0,546.0,200000000.0,2010.0,882.0,6.7,0,0,1,0,105219735.0
323,208.0,88.0,20.0,36.0,144.0,309,0.0,155.0,99000000.0,2015.0,42.0,7.2,1,0,0,0,130174897.0
719,213.0,103.0,608.0,576.0,2000.0,3698,1.0,877.0,60000000.0,1998.0,617.0,8.1,0,1,0,0,125603360.0
4554,120.0,94.0,11.0,2.0,37.0,42,0.0,183.0,53575683.2,2008.0,3.0,7.9,0,1,0,0,4417124.0
2908,28.0,132.0,44.0,241.0,1000.0,2004,2.0,50.0,16000000.0,1997.0,653.0,6.7,0,0,0,1,1508689.0
647,90.0,102.0,4.0,112.0,14000.0,14625,0.0,174.0,35000000.0,2007.0,394.0,5.4,0,0,1,0,5932060.0
3489,261.0,109.0,0.0,597.0,1000.0,3544,0.0,687.0,7000000.0,2005.0,649.0,6.9,0,0,0,1,16901126.0
2709,104.0,97.0,32.0,692.0,14000.0,16502,5.0,141.0,15000000.0,2002.0,1000.0,6.9,0,1,0,0,8378141.0
5011,80.0,97.0,119.0,7.0,136.0,254,0.0,197.0,25000.0,1997.0,108.0,7.3,0,0,0,1,2856622.0
744,310.0,100.0,253.0,57.0,309.0,647,1.0,279.0,60000000.0,2009.0,229.0,7.7,0,1,0,0,75280058.0
3126,85.0,103.0,27.0,534.0,1000.0,4441,2.0,151.0,12000000.0,2006.0,809.0,5.5,0,0,1,0,28435406.0
454,163.0,91.0,77.0,208.0,1000.0,1804,1.0,269.0,75000000.0,2005.0,311.0,6.3,0,1,0,0,128200012.0
72,264.0,112.0,357.0,595.0,5000.0,9131,2.0,501.0,145000000.0,2008.0,3000.0,5.2,0,0,1,0,102176165.0
4391,16.0,84.0,11.0,249.0,489.0,2196,0.0,13.0,2000000.0,1999.0,469.0,4.3,0,0,0,1,6026908.0
837,131.0,92.0,25.0,639.0,1000.0,2847,0.0,146.0,60000000.0,2007.0,718.0,5.2,0,1,0,0,217326336.0
885,93.0,107.0,11.0,506.0,939.0,3742,2.0,39.0,55000000.0,2009.0,605.0,5.6,0,1,0,0,16088610.0
3305,65.0,95.0,49.0,261.0,702.0,2007,1.0,27.0,9000000.0,2007.0,616.0,6.2,0,0,1,0,2955039.0
3349,169.0,127.0,644.0,6.0,97.0,128,1.0,222.0,12208128.2,2006.0,8.0,7.5,0,0,0,0,1829142.0
160,518.0,127.0,14000.0,981.0,26000.0,39284,0.0,1559.0,150000000.0,2009.0,12000.0,8.0,0,0,1,0,257704099.0
1260,82.0,94.0,0.0,235.0,374.0,1238,3.0,130.0,60000000.0,2000.0,258.0,4.7,0,0,1,0,36037909.0
4050,134.0,94.0,0.0,557.0,2000.0,3559,4.0,514.0,3500000.0,1996.0,887.0,8.2,0,0,0,1,16501785.0
2848,186.0,86.0,174.0,2.0,619.0,971,0.0,139.0,17000000.0,2016.0,350.0,6.8,0,0,1,0,54257433.0
1389,138.0,105.0,488.0,13000.0,15000.0,44037,1.0,172.0,37000000.0,2015.0,14000.0,5.4,0,0,1,0,20991497.0
481,124.0,96.0,25.0,102.0,891.0,1919,0.0,615.0,80000000.0,2002.0,639.0,5.9,0,0,1,0,56684819.0
978,291.0,113.0,22.0,1000.0,3000.0,8398,7.0,181.0,50000000.0,2012.0,1000.0,6.7,0,0,0,1,56724080.0
937,169.0,131.0,0.0,658.0,8000.0,10003,0.0,498.0,52000000.0,2000.0,883.0,7.3,0,0,0,1,125548685.0
193,434.0,138.0,0.0,8000.0,12000.0,32355,2.0,1240.0,125000000.0,2014.0,9000.0,5.8,0,0,1,0,101160529.0
1901,180.0,101.0,21.0,317.0,22000.0,23328,0.0,450.0,30000000.0,2005.0,812.0,5.9,0,0,0,1,51097664.0
936,539.0,112.0,14000.0,417.0,1000.0,3388,0.0,849.0,50000000.0,2011.0,560.0,7.1,0,0,1,0,126975169.0
1895,216.0,86.0,70.0,318.0,440.0,2420,0.0,571.0,25000000.0,2006.0,346.0,5.8,0,0,0,1,54098051.0
1022,214.0,108.0,218.0,405.0,6000.0,10191,2.0,127.0,22000000.0,2010.0,3000.0,6.8,0,0,1,0,9528092.0
3696,318.0,106.0,0.0,482.0,852.0,2975,0.0,269.0,5000000.0,2013.0,618.0,6.6,0,0,1,0,83574831.0
1309,75.0,83.0,7.0,485.0,2000.0,4024,0.0,162.0,24000000.0,1999.0,577.0,4.1,0,0,0,1,10431220.0
1898,226.0,101.0,395.0,2000.0,40000.0,58823,1.0,632.0,25000000.0,2004.0,14000.0,7.8,0,1,0,0,51676606.0
236,359.0,140.0,0.0,4000.0,20000.0,44042,4.0,3286.0,113000000.0,2005.0,16000.0,7.6,0,0,1,0,380262555.0
2776,101.0,99.0,9.0,648.0,975.0,3500,4.0,426.0,14000000.0,1998.0,912.0,5.5,0,0,0,1,38048637.0
763,223.0,116.0,0.0,672.0,1000.0,3090,0.0,656.0,75000000.0,1997.0,720.0,6.3,0,0,0,1,47748610.0
1530,285.0,105.0,160.0,491.0,852.0,2604,0.0,1033.0,33000000.0,2006.0,521.0,5.6,0,0,0,1,34014398.0
2724,106.0,98.0,18.0,220.0,837.0,1675,0.0,190.0,55784951.6,2007.0,400.0,5.5,0,0,1,0,3525161.0
505,113.0,102.0,0.0,212.0,1000.0,1890,0.0,301.0,52000000.0,2005.0,307.0,4.2,0,0,1,0,1891821.0
4086,75.0,90.0,15.0,453.0,953.0,2510,1.0,109.0,3000000.0,2002.0,625.0,7.0,0,0,1,0,5844929.0
82,401.0,97.0,171.0,846.0,11000.0,15516,2.0,634.0,180000000.0,2014.0,2000.0,7.0,0,1,0,0,241407328.0
583,256.0,117.0,487.0,769.0,1000.0,4905,0.0,584.0,120000000.0,2006.0,843.0,7.2,1,0,0,0,244052771.0
4361,663.0,93.0,188.0,168.0,2000.0,2658,0.0,269.0,1800000.0,2012.0,458.0,7.3,0,0,1,0,12784397.0
130,516.0,115.0,0.0,12000.0,26000.0,60059,1.0,738.0,150000000.0,2011.0,20000.0,7.0,0,0,1,0,181015141.0
2497,178.0,90.0,52.0,298.0,723.0,1978,0.0,279.0,20000000.0,2010.0,346.0,5.6,0,0,0,1,45670855.0
772,306.0,134.0,16000.0,204.0,13000.0,24458,1.0,259.0,60000000.0,2009.0,11000.0,7.4,0,0,1,0,37479778.0
2551,406.0,112.0,0.0,250.0,634.0,1322,0.0,1083.0,13500000.0,2006.0,269.0,8.2,0,0,0,1,37623143.0
3108,264.0,124.0,108.0,186.0,1000.0,1898,3.0,266.0,10000000.0,2011.0,400.0,7.3,0,0,1,0,46377022.0
2803,251.0,137.0,143.0,280.0,14000.0,15337,0.0,320.0,26000000.0,2006.0,617.0,7.6,0,0,0,1,5459824.0
2030,247.0,101.0,0.0,92.0,218.0,638,7.0,243.0,24000000.0,2008.0,216.0,6.6,0,0,0,1,31452765.0
584,103.0,116.0,0.0,995.0,8000.0,12790,2.0,255.0,70000000.0,1999.0,3000.0,5.5,0,1,0,0,152149590.0
653,538.0,150.0,14000.0,655.0,23000.0,25517,0.0,720.0,65000000.0,2012.0,826.0,7.4,0,0,1,0,182204440.0
1150,99.0,90.0,16.0,16.0,44.0,132,3.0,403.0,43000000.0,2002.0,28.0,5.1,0,0,0,1,24430272.0
2718,49.0,105.0,52.0,275.0,477.0,2312,4.0,85.0,15000000.0,2000.0,397.0,4.6,0,0,1,0,5217498.0
2385,220.0,90.0,15.0,16000.0,87000.0,120797,0.0,518.0,19000000.0,2005.0,17000.0,6.0,0,0,0,1,64255243.0
247,93.0,108.0,79.0,268.0,650.0,1569,1.0,277.0,116000000.0,1997.0,293.0,5.8,0,0,1,0,67155742.0
1998,143.0,92.0,892.0,492.0,783.0,2930,2.0,471.0,25000000.0,2005.0,595.0,2.9,0,0,0,1,1550000.0
1913,45.0,80.0,0.0,362.0,971.0,3017,0.0,35.0,25000000.0,2003.0,503.0,5.6,0,1,0,0,39399750.0
951,143.0,95.0,9.0,11000.0,14000.0,37967,2.0,242.0,50000000.0,2006.0,11000.0,5.6,0,0,1,0,88658172.0
918,215.0,118.0,71.0,634.0,16000.0,28045,2.0,149.0,52000000.0,2011.0,10000.0,6.4,0,0,0,1,37035845.0
1949,213.0,97.0,41.0,619.0,11000.0,12841,1.0,165.0,25000000.0,2010.0,673.0,6.4,0,0,1,0,23527955.0
1403,261.0,129.0,102.0,624.0,768.0,3389,0.0,420.0,29000000.0,2009.0,734.0,7.7,0,0,1,0,255950375.0
1176,213.0,105.0,0.0,52.0,1000.0,1342,4.0,71.0,27000000.0,2009.0,172.0,7.2,0,0,0,1,1260917.0
1129,189.0,114.0,611.0,10.0,879.0,949,2.0,229.0,45000000.0,2006.0,52.0,7.0,0,0,0,1,6565495.0
1120,150.0,124.0,0.0,19.0,723.0,793,0.0,531.0,45000000.0,2001.0,44.0,6.8,0,0,0,1,19719930.0
3595,391.0,109.0,0.0,120.0,1000.0,1582,0.0,547.0,6000000.0,2008.0,245.0,7.9,0,0,0,1,26236603.0
144,135.0,85.0,42.0,586.0,20000.0,35161,0.0,122.0,149000000.0,2006.0,14000.0,6.7,0,1,0,0,64459316.0
261,366.0,102.0,263.0,1000.0,6000.0,10583,0.0,523.0,110000000.0,2014.0,1000.0,6.2,0,0,0,1,106369117.0
180,166.0,96.0,13.0,463.0,16000.0,17416,0.0,90.0,135000000.0,2013.0,881.0,6.5,0,1,0,0,83024900.0
3199,185.0,93.0,4.0,4.0,533.0,578,1.0,127.0,10000000.0,2016.0,35.0,4.8,0,0,1,0,26583369.0
1924,109.0,101.0,43.0,432.0,5000.0,6867,2.0,185.0,30000000.0,2003.0,618.0,5.8,0,0,0,1,34604054.0
989,66.0,93.0,0.0,717.0,12000.0,14899,1.0,177.0,50000000.0,2005.0,722.0,3.5,0,1,0,0,39177541.0
4891,38.0,106.0,0.0,131.0,254.0,964,1.0,73.0,225000.0,2000.0,147.0,7.0,0,0,0,1,1027119.0
803,196.0,103.0,179.0,87.0,794.0,1467,2.0,411.0,30000000.0,2005.0,329.0,5.6,0,0,1,0,25472967.0
202,258.0,159.0,0.0,645.0,11000.0,13191,4.0,1571.0,125000000.0,2001.0,687.0,7.5,0,1,0,0,317557891.0
2293,166.0,111.0,0.0,725.0,856.0,3309,0.0,299.0,20000000.0,2007.0,742.0,6.8,0,0,0,1,9525276.0
269,354.0,129.0,235.0,297.0,13000.0,13961,1.0,782.0,110000000.0,2007.0,300.0,7.2,0,0,1,0,134520804.0
3523,301.0,97.0,0.0,106.0,227.0,684,0.0,198.0,7000000.0,2010.0,218.0,6.3,0,0,0,1,1768416.0
1978,317.0,140.0,149.0,581.0,27000.0,29692,1.0,514.0,25000000.0,2011.0,798.0,8.2,0,0,1,0,13651662.0
1845,175.0,90.0,160.0,392.0,748.0,3172,0.0,472.0,26000000.0,2003.0,439.0,6.2,0,0,0,1,46455802.0
1183,108.0,100.0,64.0,296.0,734.0,2085,0.0,125.0,41000000.0,2011.0,574.0,6.2,0,1,0,0,7204138.0
4267,157.0,115.0,0.0,35.0,85.0,318,0.0,361.0,2000000.0,2000.0,79.0,8.1,0,0,0,1,5383834.0
2672,69.0,90.0,13.0,613.0,882.0,2661,2.0,127.0,15000000.0,2002.0,874.0,6.7,0,1,0,0,19158074.0
4566,87.0,92.0,2.0,5.0,783.0,1447,0.0,155.0,1000000.0,2006.0,659.0,7.7,0,1,0,0,1677838.0
1387,126.0,124.0,287.0,475.0,9000.0,10838,0.0,212.0,34000000.0,2000.0,1000.0,5.7,0,0,0,1,23360779.0
2802,259.0,112.0,232.0,177.0,413.0,1372,1.0,175.0,55784951.6,2007.0,412.0,8.0,0,0,1,0,5990075.0
1376,148.0,110.0,11.0,591.0,2000.0,4882,4.0,83.0,38000000.0,2016.0,756.0,6.1,0,0,0,1,46813366.0
